"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274600044211105792","","","","","2012-11-30 19:45:27 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Vlada i #sindikati javnih slu?bi pred dogovorom: ""Dio smo ?lanaka ve? usuglasili s dijelom sindikata, ali ne sa svima."" http://t.co/Du8rwBfY","http://ow.ly/fIQnV"
"274596007164125184","","168720733","","","2012-11-30 19:29:24 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@Tomislavchek Pro?itaj @MVEP_hr priop?enje i obratite se njima za dodatna pitanja: http://t.co/ojtxiij7","http://ow.ly/fIPOO"
"274585579260362752","","","","","2012-11-30 18:47:58 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Turisti?ke djelatnosti u devet mjeseci: 19,1 mlrd. kn prihoda - 3,25% vi?e nego u istom razdoblju lani. Vi?e: http://t.co/evHnSeBD #turizam","http://ow.ly/fIKdC"
"274580347121987585","274578759011672064","186037678","","","2012-11-30 18:27:10 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@siiimonica Na http://t.co/ZO3dMdPC mo?e? na?i popis i status svih investicija javnih dru?tava, projekte JPP-a i energetske obnove zgrada.","http://ow.ly/fII85"
"274576294652567552","274567460668194817","80801178","","","2012-11-30 18:11:04 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@svetonilovic @njofranjofra @GioGrlj Pro?itajte @MVEP_hr priop?enje i obratite se njima za dodatna pitanja: http://t.co/0ymbfeXZ","http://ow.ly/fHFM8"
"274573982659928064","274572773504999424","25321266","","","2012-11-30 18:01:53 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@nedeljko I mi se pitamo kada ?e kona?ni podaci. Prvi rezultati dostupni su na http://t.co/H7Q65hJB /cc @bojanmilicevic","http://ow.ly/fIEUj"
"274562616700063744","","","","","2012-11-30 17:16:43 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Potpredsjednik Gr?i?: 'Kombinacija investicija javnog i privatnog sektora klju?na za oporavak gospodarstva' http://t.co/OnxhCeZX #politikahr","http://ow.ly/fIz90"
"274559339795214338","","451552319","","","2012-11-30 17:03:42 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@hnice01 Promjene su nu?ne. Normalan, civilno nadziran i profesionalni sustav neophodan je u Hrvatskoj. (cont) http://t.co/0xfMWAmb","http://tl.gd/k6i12c"
"274546112403218432","","","","","2012-11-30 16:11:08 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","#MINGO vas poziva na seminar o liberalizaciji tr?i?ta roba i usluga u #Osijek i #Vukovar 5. i 6. prosinca. Vi?e: http://t.co/gRerrgXe","http://ow.ly/fIp3c"
"274542618669625344","274535269741502465","186037678","","","2012-11-30 15:57:15 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@siiimonica @KapitalacTwitt @ghost_team7 Evo ?to je ministar Lini? rekao nedavno u #saborhr o ekonomskoj politici http://t.co/hEkdUKLw","http://ow.ly/fIn76"
"274534876462587904","274532642798575616","37274585","","","2012-11-30 15:26:29 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@robi052 O toj ideji razgovarali smo i u velja?i (http://t.co/d0KsEKld). Predavanje je dostupno na: http://t.co/eS7rKYjA","http://ow.ly/fIhI4","http://ow.ly/fIhO1"
