"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"285432978262327296","","760737967","","","2012-12-30 17:11:39 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@mario64363234 U?enici ?e na zdravstvenom odgoju dobiti znanstveno utemeljene informacije i uvide u razli?ita (cont) http://t.co/ZFc8AJMr","http://tl.gd/ki0a89"
"285387356754817024","","","","","2012-12-30 14:10:22 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Te?ke tjelese ozljede pro?le je godine zadobilo 9 osoba. Pirotehni?ka sredstva nisu igra?ke. Nek blagdani budu veseliji http://t.co/Hlch05zD","http://ow.ly/gqNGQ"
"285370958158643200","","","","","2012-12-30 13:05:13 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Ponovimo - ako ste u nekoj udruzi, molimo, pro?irite info - #javnarasprava o Zakonu o udrugama http://t.co/58uP8XNU #civilnodrustvo","http://ow.ly/gqkeO"
"285360983344549888","","","","","2012-12-30 12:25:34 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","Hvala! :) RT @rain_wind_storm: SVAKA ?AST ZA KAMPANJU @VladaRH http://t.co/MB7GHpYX","http://twitter.com/rain_wind_storm/status/285359900262014977/photo/1"
"285340772369317888","","","","","2012-12-30 11:05:16 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[UPOZORENJE] Provale u domove spadaju u ?e??a kaznena djela. Za?titite se od provala tijekom blagdana http://t.co/qDb3PYn8","http://ow.ly/gqjxh"
"285334897197989888","285329612156837888","25321266","","","2012-12-30 10:41:55 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@nedeljko @ssuljic @jklicinovic @elarac #mzos mo?ete kontaktirati putem http://t.co/LwKF60cw","http://ow.ly/gqOzJ"
"285331023649181698","","25321266","","","2012-12-30 10:26:31 +0000","<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","@nedeljko @ssuljic @jklicinovic @elarac Iz #mzos dodaju da, osim ?to su dobro upoznati sa spomenutim tekstom i (cont) http://t.co/dIgCPCxq","http://tl.gd/khr78i"
"285327655572762624","285134032428212224","224726116","","","2012-12-30 10:13:08 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@ninabojana Dogovoreno. Javi. :)"
"285327337078284290","285127616577552384","25321266","","","2012-12-30 10:11:52 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","@nedeljko Proslijedili smo im. @ssuljic @jklicinovic @elarac"
"285322571707215872","","","","","2012-12-30 09:52:56 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","[ROK] Podno?enje zahtjeva za #legalizacija bespravne gra?evine istje?e 31.12.2012 http://t.co/Mbxa58CP","http://ow.ly/gqk5y"
