"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"163985202929078272","","","","","2012-01-30 14:01:33 +0000","<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>","Z.Milanovi? prije sastanka Europskog vije?a, prvog na kojem sudjeluje RH. Hrvatska soba u Bruxellesu #euco #eu  http://t.co/3lOsHb2u","http://twitpic.com/8dl80k"
"163972139177885696","","","163970705191477248","196994616","2012-01-30 13:09:39 +0000","web","RT @euHvR: We must continue to bring down public debts & to stabilise the Eurozone, while at the same time securing growth & jobs. #EUCO"
"163971426725011457","163970735960887296","34696167","","","2012-01-30 13:06:49 +0000","web","@NandinoLoncar Upravo to smo i rekli - prijedlozi, kao i kritike koje su utemeljene i konstruktivne do?u do onih kojima su upu?eni."
"163969702752817152","163963704025681922","34696167","","","2012-01-30 12:59:58 +0000","web","@NandinoLoncar Kvalitetne prijedloge proslje?ujemo nadle?nima, kao i pitanja  koja nam ovdje pristignu."
"163962378474618880","","","","","2012-01-30 12:30:51 +0000","<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>","Predsjednik Vlade sa predsjednikom @EU_Commission J.M.Barrossom #EU  http://t.co/gvjZ8cko","http://twitpic.com/8dk76o"
"163947929005080576","163946482939084800","21100803","","","2012-01-30 11:33:26 +0000","web","Uz na?eg premijera, tu je i @MartinSchulz, novi predsjednik EP-a #eu RT @PES_PSE Photo at PES Prime Ministers' meeting http://t.co/AKRk4Ekn","http://flic.kr/p/bkTEWD"
"163945179152257024","163944285543202816","5610432","","","2012-01-30 11:22:31 +0000","web","@blackshtef @viborc Uh, uh, ?to ?emo sada? :) Ajde, bar nas vi razumijete."
"163942093184696320","","","","","2012-01-30 11:10:15 +0000","web","Pre?li smo 5000 followera u malo vi?e od mjesec dana. Hvala svima na podr?ci, ali i kritikama. Samo tako nastavite! #win"
"163937117934850048","163936052984295425","41080473","","","2012-01-30 10:50:29 +0000","web","@Malisoko Izvje?tavamo o svim koracima predsjednika Vlade u  Bruxellesu, kao ?to i pi?e u najavi http://t.co/ds4K2Jcl","http://vlada.hr/hr/naslovnica/novosti_i_najave/najave/2012/sijecanj/predsjednik_vlade_milanovic_u_bruxellesu_na_sastanku_europskog_vijeca"
"163935084494336001","","","","","2012-01-30 10:42:24 +0000","<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>","Predsjednik Vlade na sastanku lidera Stranke europskih socijalista (PES) cc @PESGroupCoR #eu #politikahr http://t.co/2EGqswk0","http://twitpic.com/8dj786"
"163923445082632192","","","","","2012-01-30 09:56:09 +0000","web","RT @euHvR I welcomed the new Prime Minister of #Croatia Milanovic?, to his first meeting in Brussels. Press statement @ http://t.co/LLAmBzDv","http://goo.gl/LwKc2"
